Nome,Owner,Coverage,Qnt. de BUG Issues,Último update nas BUG Issues,Qnt. de LOC de teste,URL
Avalonia,AvaloniaUI,70%,647,19/05/20,68183,https://github.com/AvaloniaUI/Avalonia
choco,chocolatey,20%,436,19/05/20,1282,https://github.com/chocolatey/choco
ReactiveUI,reactiveui,69%,189,23/05/20,14574,https://github.com/reactiveui/ReactiveUI
duplicati,duplicati,91%,1070,18/05/20,5848,https://github.com/duplicati/duplicati
Ocelot,ThreeMammals,88%,85,22/05/20,12796,https://github.com/ThreeMammals/Ocelot
NLog,NLog,45%,371,18/05/20,7582,https://github.com/NLog/NLog
Lean,QuantConnect,89%,476,20/05/20,127941,https://github.com/QuantConnect/Lean
cake,cake-build,74%,201,19/05/20,78100,https://github.com/cake-build/cake
Wexflow,aelassas,68%,17,23/05/20,802,https://github.com/aelassas/Wexflow
AsyncEx,StephenCleary,65%,4,17/05/20,3756,https://github.com/StephenCleary/AsyncEx
markdig,lunet-io,94%,60,30/04/20,4275,https://github.com/lunet-io/markdig
SimpleInjector,simpleinjector,96%,93,22/05/20,45332,https://github.com/simpleinjector/SimpleInjector
piranha.core,PiranhaCMS,75%,147,22/05/20,6586,https://github.com/PiranhaCMS/piranha.core
Saml2,Sustainsys,74%,133,19/05/20,23291,https://github.com/Sustainsys/Saml2
