Nome,Owner,Coverage,Qnt. de BUG Issues,Último update nas BUG Issues,Qnt. de LOC de teste,URL

awesome-go,avelino,96%,8,18/05/20,151,https://github.com/avelino/awesome-go

gin,gin-gonic,21%,50,20/05/20,5832,https://github.com/gin-gonic/gin

go-ethereum,ethereum,44%,146,13/05/20,75539,https://github.com/ethereum/go-ethereum

nsq,nsqio,61%,84,27/04/20,6293,https://github.com/nsqio/nsq

echo,labstack,82%,109,02/05/20,5806,https://github.com/labstack/echo

helm,helm,66%,504,22/05/20,22424,https://github.com/helm/helm

go-micro,micro,58%,10,07/05/20,11426,https://github.com/micro/go-micro

grpc-go,grpc,92%,238,21/05/20,57352,https://github.com/grpc/grpc-go

jaeger,jaegertracing,100%,70,19/05/20,34557,https://github.com/jaegertracing/jaeger

fyne,fyne-io,66%,131,22/05/20,11353,https://github.com/fyne-io/fyne

hydra,ory,52%,171,04/05/20,12213,https://github.com/ory/hydra

casbin,casbin,75%,37,20/05/20,3792,https://github.com/casbin/casbin

bleve,blevesearch,66%,79,23/05/20,25000,https://github.com/blevesearch/bleve

weave,weaveworks,66%,665,22/05/20,8695,https://github.com/weaveworks/weave

goreleaser,goreleaser,84%,184,22/05/20,14208,https://github.com/goreleaser/goreleaser

validator,go-playground,100%,22,29/04/20,1099,https://github.com/go-playground/validator

go-swagger,go-swagger,72%,375,13/05/20,40172,https://github.com/go-swagger/go-swagger

rpcx,smallnest,19%,32,19/05/20,879,https://github.com/smallnest/rpcx

lnd,lightningnetwork,63%,163,14/05/20,131597,https://github.com/lightningnetwork/lnd

gqlgen,99designs,66%,78,07/05/20,7478,https://github.com/99designs/gqlgen

git-bug,MichaelMure,3%,23,22/05/20,4442,https://github.com/MichaelMure/git-bug

govalidator,asaskevich,92%,12,12/05/20,789,https://github.com/asaskevich/govalidator

quic-go,lucas-clemente,59%,386,23/05/20,34759,https://github.com/lucas-clemente/quic-go

bigcache,allegro,92%,12,09/05/20,2404,https://github.com/allegro/bigcache

sqlflow,sql-machine-learning,63%,115,22/05/20,11105,https://github.com/sql-machine-learning/sqlflow



cadence,uber,69%,107,12/05/20,106191,https://github.com/uber/cadence

go-socket.io,googollee,52%,60,23/05/20,592,https://github.com/googollee/go-socket.io

go-astilectron,asticode,79%,14,19/05/20,1343,https://github.com/asticode/go-astilectron

statping,statping,48%,38,22/05/20,3937,https://github.com/statping/statping

argo-cd,argoproj,27%,684,23/05/20,21668,https://github.com/argoproj/argo-cd

nats.go,nats-io,92%,11,13/05/20,13822,https://github.com/nats-io/nats.go

yaegi,containous,72%,240,21/05/20,1892,https://github.com/containous/yaegi

emitter,emitter-io,90%,10,17/05/20,7809,https://github.com/emitter-io/emitter

cameradar,Ullaakut,100%,33,06/05/20,2009,https://github.com/Ullaakut/cameradar

mercure,dunglas,95%,4,08/05/20,2979,https://github.com/dunglas/mercure

oathkeeper,ory,65%,20,07/05/20,8775,https://github.com/ory/oathkeeper
