Nome,Owner,Coverage,Qnt. de BUG Issues,Último update nas BUG Issues,Qnt. de LOC de teste,URL
rxjs,ReactiveX,97%,156,20/05/20,65830,https://github.com/ReactiveX/rxjs
recharts,recharts,93%,118,20/05/20,4586,https://github.com/recharts/recharts
flatpickr,flatpickr,77%,61,15/05/20,1745,https://github.com/flatpickr/flatpickr
ignite,infinitered,50%,80,21/05/20,686,https://github.com/infinitered/ignite
react-hook-form,react-hook-form,87%,162,23/05/20,7903,https://github.com/react-hook-form/react-hook-form
G2,antvis,94%,214,21/05/20,585,https://github.com/antvis/G2
redoc,Redocly,76%,113,22/05/20,981,https://github.com/Redocly/redoc
desktop,desktop,20%,835,22/05/20,6113,https://github.com/desktop/desktop
barba,barbajs,100%,27,17/05/20,4180,https://github.com/barbajs/barba
boardgame.io,nicolodavis,100%,23,22/05/20,9833,https://github.com/nicolodavis/boardgame.io
wechaty,wechaty,73%,177,13/05/20,44,https://github.com/wechaty/wechaty
pnpm,pnpm,83%,234,21/05/20,1743,https://github.com/pnpm/pnpm
got,sindresorhus,100%,123,21/05/20,0,https://github.com/sindresorhus/got
http-proxy-middleware,chimurai,88%,11,10/05/20,2228,https://github.com/chimurai/http-proxy-middleware
react-apollo,apollographql,97%,86,17/05/20,15361,https://github.com/apollographql/react-apollo
vue-storefront,DivanteLtd,100%,543,22/05/20,17905,https://github.com/DivanteLtd/vue-storefront
deepstream.io,deepstreamIO,76%,88,06/05/20,9536,https://github.com/deepstreamIO/deepstream.io
G6,antvis,89%,47,22/05/20,8,https://github.com/antvis/G6
platform,ngrx,90%,112,18/05/20,45778,https://github.com/ngrx/platform
clarity,vmware,97%,682,21/05/20,49588,https://github.com/vmware/clarity
azuredatastudio,microsoft,35%,3787,22/05/20,169402,https://github.com/microsoft/azuredatastudio
mobx-state-tree,mobxjs,100%,67,06/05/20,8539,https://github.com/mobxjs/mobx-state-tree
nteract,nteract,74%,64,05/05/20,11312,https://github.com/nteract/nteract
react-toastify,fkhadra,94%,33,20/05/20,1779,https://github.com/fkhadra/react-toastify
javascript-obfuscator,javascript-obfuscator,99%,105,21/05/20,23582,https://github.com/javascript-obfuscator/javascript-obfuscator
express-validator,express-validator,100%,53,18/05/20,2418,https://github.com/express-validator/express-validator
mobx-react,mobxjs,96%,21,20/05/20,3287,https://github.com/mobxjs/mobx-react
rsuite,rsuite,93%,72,18/05/20,15259,https://github.com/rsuite/rsuite
react-data-grid,adazzle,90%,71,21/05/20,1806,https://github.com/adazzle/react-data-grid
moveable,daybrush,32%,71,22/05/20,815,https://github.com/daybrush/moveable
electron-forge,electron-userland,46%,138,21/05/20,3237,https://github.com/electron-userland/electron-forge
unform,Rocketseat,100%,45,22/05/20,569,https://github.com/Rocketseat/unform
firebase-js-sdk,firebase,89%,18,18/05/20,110381,https://github.com/firebase/firebase-js-sdk
loopback-next,strongloop,92%,297,23/05/20,5785,https://github.com/strongloop/loopback-next
node-slack-sdk,slackapi,86%,53,19/05/20,4052,https://github.com/slackapi/node-slack-sdk
firebase-tools,firebase,66%,174,23/05/20,12754,https://github.com/firebase/firebase-tools
slider,react-component,83%,16,04/05/20,1264,https://github.com/react-component/slider
ng-select,ng-select,94%,100,01/05/20,4863,https://github.com/ng-select/ng-select
solid,ryansolid,93%,40,02/05/20,3350,https://github.com/ryansolid/solid
vscode-jest,jest-community,90%,53,13/05/20,1340,https://github.com/jest-community/vscode-jest
mobx-react-lite,mobxjs,93%,27,19/05/20,2419,https://github.com/mobxjs/mobx-react-lite
generatedata,benkeen,52%,27,18/05/20,1783,https://github.com/benkeen/generatedata
scenejs,daybrush,93%,4,11/05/20,3221,https://github.com/daybrush/scenejs
node-csvtojson,Keyang,95%,17,21/05/20,2324,https://github.com/Keyang/node-csvtojson
node-sdk,watson-developer-cloud,59%,72,23/04/20,23093,https://github.com/watson-developer-cloud/node-sdk
react-spinners,davidhu2000,100%,20,02/05/20,6379,https://github.com/davidhu2000/react-spinners
crud,nestjsx,100%,25,18/05/20,4834,https://github.com/nestjsx/crud
ts-morph,dsherret,88%,112,16/05/20,41976,https://github.com/dsherret/ts-morph
uppload,elninotech,64%,20,22/05/20,941,https://github.com/elninotech/uppload
G2Plot,antvis,68%,23,22/05/20,2342,https://github.com/antvis/G2Plot
typegoose,szokodiakos,88%,19,14/05/20,878,https://github.com/szokodiakos/typegoose
tsed,TypedProject,96%,102,10/05/20,29340,https://github.com/TypedProject/tsed
ng-dynamic-forms,udos86,95%,80,10/05/20,14679,https://github.com/udos86/ng-dynamic-forms
rest-hooks,coinbase,100%,45,22/05/20,6127,https://github.com/coinbase/rest-hooks
threads.js,andywer,98%,19,22/05/20,701,https://github.com/andywer/threads.js
vscode-mssql,microsoft,63%,423,18/05/20,7176,https://github.com/microsoft/vscode-mssql
next-redux-wrapper,kirill-konshin,0%,5,23/05/20,361,https://github.com/kirill-konshin/next-redux-wrapper
ueli,oliverschwendener,100%,102,20/05/20,1368,https://github.com/oliverschwendener/ueli
node-casbin,casbin,74%,18,02/05/20,1648,https://github.com/casbin/node-casbin
mikro-orm,mikro-orm,100%,134,21/05/20,16889,https://github.com/mikro-orm/mikro-orm
fast-csv,C2FO,96%,28,19/05/20,5631,https://github.com/C2FO/fast-csv
node-opcua,node-opcua,90%,112,04/05/20,54505,https://github.com/node-opcua/node-opcua
Cookie-AutoDelete,Cookie-AutoDelete,22%,44,22/05/20,2376,https://github.com/Cookie-AutoDelete/Cookie-AutoDelete
